Terms,Definition,Alternates
abort,"Terms used to describe a process or job that stopped abruptly, either on its own or by user action; also used to describe the action of stopping a subsidiary process, e.g. an operating system process. These terms use generally invoke violent images that some writers may wish to avoid imposing on their readers., religious objections","cancel, force quit, stop, end, or finalize, cancel progress, end progress"
terminate,"Terms used to describe a process or job that stopped abruptly, either on its own or by user action; also used to describe the action of stopping a subsidiary process, e.g. an operating system process. These terms use generally invoke violent images that some writers may wish to avoid imposing on their readers., religious objections","cancel, force quit, stop, end, or finalize, cancel progress, end progress"
average user,When used to describe less experience users of technology this term may come across as pejorative.,"common, standard, or typical user"
black box,"Term used to describe algorithms or processes that are decipherable by humans or not. In addition to potentially being perceived as racially charged in today's context, color-based terms are culturally specific, so there is little value in associating permissions with them.",opaque box
white box,"Term used to describe algorithms or processes that are decipherable by humans or not. In addition to potentially being perceived as racially charged in today's context, color-based terms are culturally specific, so there is little value in associating permissions with them.","clear box, open box"
black hat,"Term used to describe the motivations underlying an agent's actions. This term is arbitrary and has no explanatory value, as well as being racially charged and culturally specific.","unethical attacker, unethical hacker, hostile force"
white hat,"Term used to describe the motivations underlying an agent's actions. This term is arbitrary and has no explanatory value, as well as being racially charged and culturally specific.","ethical attacker, ethical hacker, friendly force"
blacklist,"Term used to describe whether an agent has access to a resource. In addition to being racially charged, color-based terms are culturally specific, so there is little value in associating permissions with them.","blocklist, unapprovedlist, denylist"
whitelist,"Term used to describe whether an agent has access to a resource. In addition to being racially charged, color-based terms are culturally specific, so there is little value in associating permissions with them.","allowlist, approvedlist"
blind,"Term used to describe the anonymity of authors and reviewers, also used in describing experiments. This term is offensive to people who are blind or have other visual impairments. Someone who is blind is not anonymous, yet, the this term is used to suggest anonymity.",anonymous
double blind,"Term used to describe the anonymity of authors and reviewers, also used in describing experiments. This term is offensive to people who are blind or have other visual impairments. Someone who is blind is not anonymous, yet, the this term is used to suggest anonymity.",dual anonymous
male connector,Term used for describing physical connectors in hardware systems. (sexist and normative),plug
female connector,Term used for describing physical connectors in hardware systems. (sexist and normative),socket
she,Gendered term does not necessarily pertain to everyone.,they
her,Gendered term does not necessarily pertain to everyone.,them
hers,Gendered term does not necessarily pertain to everyone.,their
he,Gendered term does not necessarily pertain to everyone.,they
him,Gendered term does not necessarily pertain to everyone.,them
his,Gendered term does not necessarily pertain to everyone.,their
master,"Term used in technology to describe the relationship between two processes or components. In addition to being a racially charged, the term does not necessarily reflect how the two interact.","primary, main, leader, parent, coordinator, host, origin"
slave,"Term used in technology to describe the relationship between two processes or components. In addition to being a racially charged, the term does not necessarily reflect how the two interact.","secondary, replica, follower, child, worker, client, clone, standby, minions"
quantum supremacy,"In computing this term is used to describe the computational advantage a quantum computer has on classical computer, or one quantum computer over another. The term has long been associated with crimes against humanity and genocide.",advantage
grandfathered,"Though not exclusively used in the tech industry, phrases like “that product was grandfathered in” are directly related to the grandfather clause used to discriminate against African Americans in the nineteenth century. This phrase is usually used to describe “individuals or companies who get to keep operating under an existing set of expectations when new rules are put in place.” Racialized in its origins, the grandfather clause was created to discriminate and institutionally disenfranchise black voters and “their descendants from voting, while allowing poor and illiterate whites to vote.” Though the usage of grandfathering is now part of mainstream vernacular, its origins are rooted in oppressive policies enacted to institutionally disenfranchise African Americans. The term’s historical connections to slavery and casual reference to White supremacy does not reflect the ideals of an inclusive, safe, and equitable environment.",legacy status
guys,Gendered term does not necessarily pertain to everyone.,"folks, people, you all, y'all, team"
man hours,"In companies, the working hours or the effort are calculated with manhours. The typical workplace jargon has a bias where it seems like it counts the workforce's women out. Subconsciously, when you hear about manhour, you picture a man. Does that mean a man can only perform the work? In the case of the software industry— absolutely not. Hence, it is better to use a neutral term that appropriately conveys the message without giving rise to unconscious bias.","person hours, engineer hours, work hours, staff hours"
